epoch,recon_mse,lr
429,0.004568,8.93e-06
430,0.004577,8.92e-06
431,0.004643,8.92e-06
432,0.004628,8.91e-06
433,0.004597,8.91e-06
434,0.004613,8.90e-06
435,0.004616,8.90e-06
436,0.004596,8.89e-06
437,0.004594,8.89e-06
438,0.004565,8.88e-06
439,0.004554,8.88e-06
440,0.004575,8.87e-06
441,0.004559,8.87e-06
442,0.004551,8.86e-06
443,0.004521,8.86e-06
444,0.004521,8.85e-06
445,0.004544,8.85e-06
446,0.004533,8.84e-06
447,0.004520,8.84e-06
448,0.004530,8.83e-06
449,0.004522,8.83e-06
450,0.004566,8.82e-06
451,0.004533,8.82e-06
452,0.004537,8.81e-06
453,0.004520,8.81e-06
454,0.004517,8.80e-06
455,0.004513,8.80e-06
456,0.004519,8.79e-06
457,0.004503,8.79e-06
458,0.004505,8.78e-06
459,0.004540,8.78e-06
460,0.004519,8.77e-06
461,0.004526,8.77e-06
462,0.004516,8.76e-06
463,0.004530,8.75e-06
464,0.004494,8.75e-06
465,0.004473,8.74e-06
466,0.004460,8.74e-06
467,0.004465,8.73e-06
468,0.004472,8.73e-06
469,0.004462,8.72e-06
470,0.004509,8.72e-06
471,0.004478,8.71e-06
472,0.004468,8.71e-06
473,0.004472,8.70e-06
474,0.004451,8.70e-06
475,0.004432,8.69e-06
476,0.004422,8.69e-06
477,0.004432,8.68e-06
478,0.004454,8.68e-06
479,0.004416,8.67e-06
480,0.004435,8.67e-06
481,0.004430,8.66e-06
482,0.004420,8.65e-06
483,0.004432,8.65e-06
484,0.004415,8.64e-06
485,0.004424,8.64e-06
486,0.004416,8.63e-06
487,0.004429,8.63e-06
488,0.004424,8.62e-06
489,0.004430,8.62e-06
490,0.004416,8.61e-06
491,0.004415,8.61e-06
492,0.004413,8.60e-06
493,0.004400,8.59e-06
494,0.004406,8.59e-06
495,0.004404,8.58e-06
496,0.004414,8.58e-06
497,0.004410,8.57e-06
498,0.004395,8.57e-06
499,0.004403,8.56e-06
500,0.004402,8.56e-06
501,0.004394,8.55e-06
502,0.004386,8.55e-06
503,0.004360,8.54e-06
504,0.004361,8.53e-06
505,0.004368,8.53e-06
506,0.004357,8.52e-06
507,0.004346,8.52e-06
508,0.004362,8.51e-06
509,0.004361,8.51e-06
510,0.004349,8.50e-06
511,0.004359,8.49e-06
512,0.004355,8.49e-06
513,0.004337,8.48e-06
514,0.004326,8.48e-06
515,0.004354,8.47e-06
516,0.004381,8.47e-06
517,0.004352,8.46e-06
518,0.004381,8.46e-06
519,0.004362,8.45e-06
520,0.004347,8.44e-06
521,0.004334,8.44e-06
522,0.004307,8.43e-06
523,0.004301,8.43e-06
524,0.004312,8.42e-06
525,0.004303,8.42e-06
526,0.004300,8.41e-06
527,0.004287,8.40e-06
528,0.004290,8.40e-06
529,0.004298,8.39e-06
530,0.004280,8.39e-06
531,0.004282,8.38e-06
532,0.004279,8.37e-06
533,0.004286,8.37e-06
534,0.004292,8.36e-06
535,0.004291,8.36e-06
536,0.004299,8.35e-06
537,0.004337,8.35e-06
538,0.004313,8.34e-06
539,0.004309,8.33e-06
540,0.004292,8.33e-06
541,0.004276,8.32e-06
542,0.004288,8.32e-06
543,0.004267,8.31e-06
544,0.004269,8.30e-06
545,0.004255,8.30e-06
546,0.004248,8.29e-06
547,0.004262,8.29e-06
548,0.004307,8.28e-06
549,0.004262,8.27e-06
550,0.004284,8.27e-06
551,0.004238,8.26e-06
552,0.004227,8.26e-06
553,0.004211,8.25e-06
554,0.004219,8.24e-06
555,0.004218,8.24e-06
556,0.004202,8.23e-06
557,0.004209,8.23e-06
558,0.004231,8.22e-06
559,0.004243,8.21e-06
560,0.004229,8.21e-06
561,0.004214,8.20e-06
562,0.004210,8.20e-06
563,0.004207,8.19e-06
564,0.004187,8.18e-06
565,0.004194,8.18e-06
566,0.004203,8.17e-06
567,0.004206,8.17e-06
568,0.004211,8.16e-06
569,0.004223,8.15e-06
570,0.004230,8.15e-06
571,0.004208,8.14e-06
572,0.004201,8.14e-06
573,0.004201,8.13e-06
574,0.004178,8.12e-06
575,0.004179,8.12e-06
