epoch,recon_mse,lr
99,0.011606,9.945e-06
100,0.011633,9.944e-06
101,0.011489,9.943e-06
102,0.011394,9.942e-06
103,0.011363,9.941e-06
104,0.011296,9.939e-06
105,0.011287,9.938e-06
106,0.011304,9.937e-06
107,0.011112,9.936e-06
108,0.010975,9.934e-06
109,0.010882,9.933e-06
110,0.010840,9.932e-06
111,0.010736,9.931e-06
112,0.010702,9.929e-06
113,0.010673,9.928e-06
114,0.010608,9.927e-06
115,0.010588,9.925e-06
116,0.010519,9.924e-06
117,0.010479,9.922e-06
118,0.010409,9.921e-06
119,0.010309,9.920e-06
120,0.010251,9.918e-06
121,0.010208,9.917e-06
122,0.010137,9.915e-06
123,0.010110,9.914e-06
124,0.010047,9.912e-06
125,0.009967,9.911e-06
126,0.009916,9.910e-06
127,0.009822,9.908e-06
128,0.009771,9.907e-06
129,0.009721,9.905e-06
130,0.009665,9.903e-06
131,0.009657,9.902e-06
132,0.009668,9.900e-06
133,0.009960,9.899e-06
134,0.009624,9.897e-06
135,0.009474,9.896e-06
136,0.009490,9.894e-06
137,0.009373,9.892e-06
138,0.009323,9.891e-06
139,0.009225,9.889e-06
140,0.009259,9.887e-06
141,0.009211,9.886e-06
142,0.009088,9.884e-06
143,0.009066,9.882e-06
144,0.009099,9.881e-06
145,0.008978,9.879e-06
146,0.008944,9.877e-06
147,0.008869,9.876e-06
148,0.008847,9.874e-06
149,0.008813,9.872e-06
150,0.008788,9.870e-06
151,0.008790,9.868e-06
152,0.008749,9.867e-06
153,0.008736,9.865e-06
154,0.008683,9.863e-06
155,0.008694,9.861e-06
156,0.008632,9.859e-06
157,0.008577,9.857e-06
158,0.008505,9.856e-06
159,0.008466,9.854e-06
160,0.008454,9.852e-06
161,0.008358,9.850e-06
162,0.008290,9.848e-06
163,0.008291,9.846e-06
164,0.008285,9.844e-06
165,0.008264,9.842e-06
166,0.008250,9.840e-06
167,0.008197,9.838e-06
168,0.008210,9.836e-06
169,0.008160,9.834e-06
170,0.008128,9.832e-06
171,0.008072,9.830e-06
172,0.008015,9.828e-06
173,0.008003,9.826e-06
174,0.007999,9.824e-06
175,0.007966,9.822e-06
176,0.007945,9.820e-06
177,0.007976,9.818e-06
178,0.007936,9.816e-06
179,0.007912,9.813e-06
180,0.007889,9.811e-06
181,0.007844,9.809e-06
182,0.007750,9.807e-06
183,0.007722,9.805e-06
184,0.007710,9.803e-06
185,0.007674,9.800e-06
186,0.007705,9.798e-06
187,0.007611,9.796e-06
188,0.007611,9.794e-06
189,0.007590,9.792e-06
190,0.007533,9.789e-06
191,0.007558,9.787e-06
192,0.007512,9.785e-06
193,0.007472,9.782e-06
194,0.007486,9.780e-06
195,0.007572,9.778e-06
196,0.007516,9.776e-06
197,0.007463,9.773e-06
198,0.007391,9.771e-06
199,0.007324,9.768e-06
200,0.007290,9.766e-06
201,0.007302,9.764e-06
202,0.007268,9.761e-06
203,0.007285,9.759e-06
204,0.007225,9.756e-06
205,0.007288,9.754e-06
206,0.007253,9.752e-06
207,0.007289,9.749e-06
208,0.007236,9.747e-06
209,0.007182,9.744e-06
210,0.007154,9.742e-06
211,0.007096,9.739e-06
212,0.007085,9.737e-06
213,0.007049,9.734e-06
214,0.007043,9.732e-06
215,0.007051,9.729e-06
216,0.007025,9.727e-06
217,0.007001,9.724e-06
218,0.006986,9.721e-06
219,0.006930,9.719e-06
220,0.006951,9.716e-06
221,0.006922,9.714e-06
222,0.006880,9.711e-06
223,0.006849,9.708e-06
224,0.006836,9.706e-06
225,0.006801,9.703e-06
226,0.006759,9.700e-06
227,0.006735,9.698e-06
